name
 70cl / 46.3% 
 70cl / 43% 
 70cl / 43% 
 70cl / 46% 
 70cl / 46% 
 70cl / 51.2% 
 70cl / 40% 
 140cl / 53.1% 
 70cl / 43% 
 70cl / 48% 
 70cl / 45.8% 
 70cl / 51.1% 
 70cl / 43% 
 70cl / 48% 
 70cl / 54.2% 
 70cl / 43% 
 70cl / 43% 
 70cl / 40% 
 70cl / 40% 
 70cl / 50% 
 70cl / 46% 
 70cl / 58.5% 
 70cl / 48% 
 70cl / 46% 
name
 70cl / 46.3% 
 70cl / 43% 
 70cl / 43% 
 70cl / 46% 
 70cl / 46% 
 70cl / 51.2% 
 70cl / 40% 
 140cl / 53.1% 
 70cl / 43% 
 70cl / 48% 
 70cl / 45.8% 
 70cl / 51.1% 
 70cl / 43% 
 70cl / 48% 
 70cl / 54.2% 
 70cl / 43% 
 70cl / 43% 
 70cl / 40% 
 70cl / 40% 
 70cl / 50% 
 70cl / 46% 
 70cl / 58.5% 
 70cl / 48% 
 70cl / 46% 
